compound,methane,ethylene,ethane,propylene,propane,isobutane,n-butane,isopentane,n-pentane,n-hexane,benzene,C6H12,n-heptane,n-octane,n-decane,nitrogen,carbon monoxide,carbon dioxide,sulfur dioxide,hydrogen sulfide
methane,,0.022,-0.003,0.033,0.016,0.026,0.019,-0.006,0.026,0.04,0.055,0.039,0.035,0.05,0.049,0.03,0.03,0.09,0.136,0.08
ethylene,,,0.01,,,,0.092,,,,0.031,,0.014,,0.025,0.086,-0.022,0.056,,
ethane,,,,0.089,0.001,-0.007,0.01,,0.008,-0.04,0.042,0.018,0.007,0.019,0.014,0.044,0.026,0.13,,0.086
propylene,,,,,0.007,-0.014,,,,,,,,,,0.09,0.026,0.093,,0.08
propane,,,,,,-0.007,0.003,0.011,0.027,0.001,0.023,,0.006,0,0,0.078,0.03,0.12,,0.08
isobutane,,,,,,,0,,,,,,,,,0.1,0.04,0.13,,0.047
n-butane,,,,,,,,,0.017,-0.006,,,0.003,0.007,0.008,0.087,0.04,0.135,,0.07
isopentane,,,,,,,,,0.06,,,,,,,0.092,0.04,0.121,,0.06
n-pentane,,,,,,,,,,,0.018,0.004,0.007,0,,0.1,0.04,0.125,,0.063
n-hexane,,,,,,,,,,,0.01,-0.004,-0.008,,,0.15,0.04,0.11,,0.06
benzene,,,,,,,,,,,,0.013,0.001,0.003,0.1,0.164,0.11,0.077,0.015,
C6H12,,,,,,,,,,,,,,,,0.14,0.1,0.105,,
n-heptane,,,,,,,,,,,,,,0,,0.1,0.04,0.1,,0.06
n-octane,,,,,,,,,,,,,,,,0.1,0.04,0.12,,0.06
n-decane,,,,,,,,,,,,,,,,0.11,0.04,0.114,,0.033
nitrogen,,,,,,,,,,,,,,,,,0.012,-0.02,0.08,0.17
carbon monoxide,,,,,,,,,,,,,,,,,,0.03,,0.054
carbon dioxide,,,,,,,,,,,,,,,,,,,0.136,0.097
sulfur dioxide,,,,,,,,,,,,,,,,,,,,
hydrogen sulfide,,,,,,,,,,,,,,,,,,,,
